"","SQ","Region","Name.x","Site","Quad","CH..cm.","Tot","Tt","Hw","Sf","Drift","Halimeda","Bat","Pen","O.Calc","Epiphyte.Load","Notes","Name.y","Lat","Long"
"179","LHB9","Middle Keys","Loggerhead Basin","LHB",9,NA,35,25,NA,NA,NA,NA,NA,10,NA,NA,"","lhb9",-81.48518484,24.61710499
"180","MRN1","Key West","Marquesas North","MRN",1,NA,48,8,NA,NA,40,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn1",-82.14822762,24.58970241
"181","MRN10","Key West","Marquesas North","MRN",10,NA,30,10,NA,NA,20,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn10",-82.14749539,24.58980917
"182","MRN11","Key West","Marquesas North","MRN",11,NA,25,7,NA,NA,15,NA,NA,NA,3,NA,"Drift = Laurencia","mrn11",-82.14737242,24.58975487
"183","MRN12","Key West","Marquesas North","MRN",12,NA,21,4,17,NA,NA,NA,NA,NA,NA,NA,"","mrn12",-82.14726217,24.58969622
"184","MRN13","Key West","Marquesas North","MRN",13,NA,27,3,12,NA,12,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn13",-82.14721047,24.58963096
"185","MRN15","Key West","Marquesas North","MRN",15,NA,78,NA,78,NA,NA,NA,NA,NA,NA,NA,"","mrn15",-82.14712212,24.58946722
"186","MRN16","Key West","Marquesas North","MRN",16,NA,31,NA,30,NA,1,NA,NA,NA,NA,NA,"","mrn16",-82.14707937,24.58940294
"187","MRN17","Key West","Marquesas North","MRN",17,NA,7,NA,2,NA,5,NA,NA,NA,NA,NA,"","mrn17",-82.14700945,24.58931203
"188","MRN18","Key West","Marquesas North","MRN",18,NA,13,NA,3,NA,NA,10,NA,NA,NA,NA,"","mrn18",-82.14689753,24.5891616
"189","MRN19","Key West","Marquesas North","MRN",19,NA,27,3,24,NA,NA,NA,NA,NA,NA,NA,"","mrn19",-82.14686646,24.58906404
"190","MRN2","Key West","Marquesas North","MRN",2,NA,26,8,NA,NA,18,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn2",-82.14822379,24.58970147
"191","MRN20","Key West","Marquesas North","MRN",20,NA,34,2,30,NA,2,NA,NA,NA,NA,NA,"","mrn20",-82.14709028,24.5888967
"192","MRN21","Key West","Marquesas North","MRN",21,NA,23,5,18,NA,NA,NA,NA,NA,NA,NA,"","mrn21",-82.14717803,24.58892267
"193","MRN22","Key West","Marquesas North","MRN",22,NA,26,NA,25,NA,NA,NA,NA,1,NA,NA,"","mrn22",-82.14730082,24.58896589
"194","MRN23","Key West","Marquesas North","MRN",23,NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA,"","mrn23",-82.1474164,24.58901949
"195","MRN25","Key West","Marquesas North","MRN",25,NA,23,15,NA,NA,8,NA,NA,NA,NA,NA,"","mrn25",-82.14763964,24.58906493
"196","MRN26","Key West","Marquesas North","MRN",26,NA,67,2,NA,NA,65,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn26",-82.14773247,24.58912509
"197","MRN27","Key West","Marquesas North","MRN",27,NA,43,3,NA,NA,25,15,NA,NA,NA,NA,"Drift = Laurencia","mrn27",-82.14784156,24.58919643
"198","MRN28","Key West","Marquesas North","MRN",28,NA,63,3,NA,NA,60,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn28",-82.14796642,24.58924755
"199","MRN29","Key West","Marquesas North","MRN",29,NA,60,3,NA,NA,55,2,NA,NA,NA,NA,"Drift = Laurencia","mrn29",-82.14805336,24.58928594
"200","MRN3","Key West","Marquesas North","MRN",3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","mrn3",-82.14810626,24.58980543
"201","MRN30","Key West","Marquesas North","MRN",30,NA,71,6,NA,NA,65,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn30",-82.14812504,24.58932935
"202","MRN4","Key West","Marquesas North","MRN",4,NA,27,15,NA,NA,8,3,NA,1,NA,NA,"","mrn4",-82.14802725,24.58980828
"203","MRN5","Key West","Marquesas North","MRN",5,NA,31,23,NA,NA,8,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn5",-82.14794978,24.58984555
"204","MRN6","Key West","Marquesas North","MRN",6,NA,35,9,6,NA,20,NA,NA,NA,NA,NA,"Drift = Laurencia","mrn6",-82.14784979,24.58985342
"205","MRN7","Key West","Marquesas North","MRN",7,NA,5,3,NA,NA,NA,NA,NA,2,NA,NA,"","mrn7",-82.14776542,24.58986992
"206","MRN8","Key West","Marquesas North","MRN",8,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,"","mrn8",-82.14766611,24.5898399
"207","MRN9","Key West","Marquesas North","MRN",9,NA,60,NA,NA,NA,NA,60,NA,NA,NA,NA,"Encrusting sponge","mrn9",-82.14763601,24.58983067
"208","MRS1","Key West","Marquesas South","MRS",1,NA,53,35,NA,16,NA,2,NA,NA,NA,NA,"","mrs1",-82.15339985,24.5471984
"209","MRS10","Key West","Marquesas South","MRS",10,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"","mrs10",-82.15405913,24.54661324
"210","MRS11","Key West","Marquesas South","MRS",11,NA,27,23,NA,NA,1,3,NA,NA,NA,NA,"","mrs11",-82.1541897,24.54668801
"211","MRS12","Key West","Marquesas South","MRS",12,NA,29,10,NA,NA,1,18,NA,NA,NA,NA,"","mrs12",-82.15425239,24.54681658
"212","MRS13","Key West","Marquesas South","MRS",13,NA,30,NA,30,NA,NA,NA,NA,NA,NA,NA,"","mrs13",-82.15425098,24.54688114
"213","MRS14","Key West","Marquesas South","MRS",14,NA,30,8,NA,NA,2,20,NA,NA,NA,NA,"","mrs14",-82.15426908,24.546992
"214","MRS15","Key West","Marquesas South","MRS",15,NA,30,25,NA,1,4,NA,NA,NA,NA,NA,"","mrs15",-82.15428364,24.54710068
"215","MRS16","Key West","Marquesas South","MRS",16,NA,27,10,NA,NA,16,1,NA,NA,NA,NA,"","mrs16",-82.15430195,24.54718554
"216","MRS17","Key West","Marquesas South","MRS",17,NA,9,NA,NA,8,NA,1,NA,NA,NA,NA,"","mrs17",-82.15438794,24.54728837
"217","MRS18","Key West","Marquesas South","MRS",18,NA,45,NA,NA,45,NA,NA,NA,NA,NA,NA,"","mrs18",-82.15435813,24.54740873
"218","MRS19","Key West","Marquesas South","MRS",19,NA,61,1,NA,60,NA,NA,NA,NA,NA,NA,"","mrs19",-82.15435411,24.54753989
"219","MRS2","Key West","Marquesas South","MRS",2,NA,45,35,NA,4,5,1,NA,NA,NA,NA,"","mrs2",-82.15341621,24.54710021
"220","MRS20","Key West","Marquesas South","MRS",20,NA,52,NA,NA,52,NA,NA,NA,NA,NA,NA,"","mrs20",-82.15436221,24.54768297
"221","MRS21","Key West","Marquesas South","MRS",21,NA,41,12,NA,2,NA,25,NA,NA,2,NA,"","mrs21",-82.15435032,24.54768605
"222","MRS22","Key West","Marquesas South","MRS",22,NA,27,21,NA,NA,NA,4,NA,2,NA,NA,"","mrs22",-82.15432703,24.54792321
"223","MRS23","Key West","Marquesas South","MRS",23,NA,12,10,NA,NA,NA,1,NA,1,NA,NA,"","mrs23",-82.15434926,24.548004
"224","MRS24","Key West","Marquesas South","MRS",24,NA,22,3,NA,NA,NA,18,NA,1,NA,NA,"","mrs24",-82.15423891,24.5479659
"225","MRS25","Key West","Marquesas South","MRS",25,NA,7,4,NA,NA,NA,3,NA,NA,NA,NA,"45 sponge","mrs25",-82.15412703,24.54790632
"226","MRS26","Key West","Marquesas South","MRS",26,NA,32,10,NA,NA,NA,22,NA,NA,NA,NA,"","mrs26",-82.15399138,24.54785096
"227","MRS27","Key West","Marquesas South","MRS",27,NA,17,3,NA,NA,10,4,NA,NA,NA,NA,"","mrs27",-82.15390233,24.54785006
"228","MRS28","Key West","Marquesas South","MRS",28,NA,31,3,5,NA,2,20,NA,1,NA,NA,"","mrs28",-82.15385945,24.54779372
"229","MRS29","Key West","Marquesas South","MRS",29,NA,33,7,NA,NA,7,18,NA,1,NA,NA,"","mrs29",-82.15386285,24.54779881
"230","MRS3","Key West","Marquesas South","MRS",3,NA,48,40,NA,4,NA,1,NA,3,NA,NA,"","mrs3",-82.15341778,24.54699562
"231","MRS30","Key West","Marquesas South","MRS",30,NA,9,NA,NA,2,4,2,NA,1,NA,NA,"","mrs30",-82.15367921,24.5475688
"232","MRS4","Key West","Marquesas South","MRS",4,NA,75,60,NA,12,NA,3,NA,NA,NA,NA,"","mrs4",-82.15347744,24.54692136
"233","MRS5","Key West","Marquesas South","MRS",5,NA,52,20,NA,30,NA,2,NA,NA,NA,NA,"","mrs5",-82.15355206,24.54687759
"234","MRS6","Key West","Marquesas South","MRS",6,NA,54,15,NA,35,NA,4,NA,NA,NA,NA,"","mrs6",-82.15361696,24.54684984
"235","MRS7","Key West","Marquesas South","MRS",7,NA,33,15,NA,4,NA,14,NA,NA,NA,NA,"","mrs7",-82.15360567,24.54684081
"236","MRS8","Key West","Marquesas South","MRS",8,NA,15,13,NA,1,NA,1,NA,NA,NA,NA,"","mrs8",-82.15383171,24.5467918
"237","MRS9","Key West","Marquesas South","MRS",9,NA,30,18,NA,NA,NA,12,NA,NA,NA,NA,"","mrs9",-82.15394447,24.54673031
"238","NMB1","Upper Keys","Nine Mile Bank","NMB",1,NA,100,88,NA,NA,12,NA,NA,NA,NA,NA,"","nmb1",-80.88059673,24.95521107
"239","NMB10","Upper Keys","Nine Mile Bank","NMB",10,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb10",-80.88111574,24.9551822
"240","NMB11","Upper Keys","Nine Mile Bank","NMB",11,NA,45,20,NA,NA,25,NA,NA,NA,NA,NA,"","nmb11",-80.88112588,24.95527625
"241","NMB12","Upper Keys","Nine Mile Bank","NMB",12,NA,98,8,NA,NA,90,NA,NA,NA,NA,NA,"","nmb12",-80.8811133,24.95536962
"242","NMB13","Upper Keys","Nine Mile Bank","NMB",13,NA,100,6,NA,NA,94,NA,NA,NA,NA,NA,"","nmb13",-80.88114599,24.95545592
"243","NMB14","Upper Keys","Nine Mile Bank","NMB",14,NA,65,25,NA,NA,40,NA,NA,NA,NA,NA,"","nmb14",-80.88114296,24.95555174
"244","NMB15","Upper Keys","Nine Mile Bank","NMB",15,NA,75,35,NA,NA,40,NA,NA,NA,NA,NA,"","nmb15",-80.88108871,24.95564354
"245","NMB16","Upper Keys","Nine Mile Bank","NMB",16,NA,70,55,NA,NA,15,NA,NA,NA,NA,NA,"","nmb16",-80.88104402,24.95571613
"246","NMB17","Upper Keys","Nine Mile Bank","NMB",17,NA,46,45,NA,NA,NA,NA,NA,1,NA,NA,"","nmb17",-80.88099869,24.95575299
"247","NMB18","Upper Keys","Nine Mile Bank","NMB",18,NA,86,80,NA,NA,4,NA,NA,2,NA,NA,"","nmb18",-80.88091855,24.95576351
"248","NMB19","Upper Keys","Nine Mile Bank","NMB",19,NA,45,45,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb19",-80.88079662,24.95575793
"249","NMB2","Upper Keys","Nine Mile Bank","NMB",2,NA,65,60,NA,NA,5,NA,NA,NA,NA,NA,"","nmb2",-80.88062188,24.95513008
"250","NMB20","Upper Keys","Nine Mile Bank","NMB",20,NA,93,90,NA,NA,3,NA,NA,NA,NA,NA,"","nmb20",-80.88070143,24.9557567
"251","NMB21","Upper Keys","Nine Mile Bank","NMB",21,NA,45,45,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb21",-80.8806076,24.95574846
"252","NMB22","Upper Keys","Nine Mile Bank","NMB",22,NA,28,25,NA,NA,3,NA,NA,NA,NA,NA,"","nmb22",-80.8805253,24.95568245
"253","NMB23","Upper Keys","Nine Mile Bank","NMB",23,NA,35,35,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb23",-80.88046907,24.95562407
"254","NMB24","Upper Keys","Nine Mile Bank","NMB",24,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb24",-80.88043424,24.9555419
"255","NMB25","Upper Keys","Nine Mile Bank","NMB",25,NA,55,55,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb25",-80.88041157,24.95545893
"256","NMB26","Upper Keys","Nine Mile Bank","NMB",26,NA,45,45,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb26",-80.88036871,24.95537821
"257","NMB27","Upper Keys","Nine Mile Bank","NMB",27,NA,58,55,NA,NA,3,NA,NA,NA,NA,NA,"","nmb27",-80.88037076,24.95529804
"258","NMB28","Upper Keys","Nine Mile Bank","NMB",28,NA,72,70,NA,NA,2,NA,NA,NA,NA,NA,"","nmb28",-80.88035029,24.95522706
"259","NMB29","Upper Keys","Nine Mile Bank","NMB",29,NA,28,25,NA,NA,3,NA,NA,NA,NA,NA,"","nmb29",-80.88043041,24.95514383
"260","NMB3","Upper Keys","Nine Mile Bank","NMB",3,NA,90,60,NA,NA,30,NA,NA,NA,NA,NA,"","nmb3",-80.88064352,24.95506373
"261","NMB30","Upper Keys","Nine Mile Bank","NMB",30,NA,36,25,NA,NA,6,5,NA,NA,NA,NA,"","nmb30",-80.88047525,24.95500813
"262","NMB4","Upper Keys","Nine Mile Bank","NMB",4,NA,93,8,NA,NA,85,NA,NA,NA,NA,NA,"","nmb4",-80.88068692,24.95498713
"263","NMB5","Upper Keys","Nine Mile Bank","NMB",5,NA,93,90,NA,NA,3,NA,NA,NA,NA,NA,"","nmb5",-80.88077615,24.95491656
"264","NMB6","Upper Keys","Nine Mile Bank","NMB",6,NA,77,75,NA,NA,2,NA,NA,NA,NA,NA,"","nmb6",-80.88087828,24.95492795
"265","NMB7","Upper Keys","Nine Mile Bank","NMB",7,NA,43,40,NA,NA,3,NA,NA,NA,NA,NA,"","nmb7",-80.88096625,24.9549713
"266","NMB8","Upper Keys","Nine Mile Bank","NMB",8,NA,23,20,NA,NA,NA,NA,NA,3,NA,NA,"","nmb8",-80.88105538,24.95500778
"267","NMB9","Upper Keys","Nine Mile Bank","NMB",9,NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA,"","nmb9",-80.881072,24.95509476
"268","SAK1","Biscayne","Sand Key","SAK",1,NA,50,30,NA,10,10,NA,NA,NA,NA,NA,"","SAK1",-80.18432821,25.49105011
"269","SAK10","Biscayne","Sand Key","SAK",10,NA,47,40,NA,5,2,NA,NA,NA,NA,NA,"","SAK10",-80.1843451,25.49085271
"270","SAK11","Biscayne","Sand Key","SAK",11,NA,54,45,NA,5,NA,NA,NA,4,NA,NA,"","SAK11",-80.18422072,25.49081507
"271","SAK12","Biscayne","Sand Key","SAK",12,NA,61,15,NA,45,1,NA,NA,NA,NA,NA,"","SAK12",-80.18432179,25.49080838
"272","SAK13","Biscayne","Sand Key","SAK",13,NA,78,70,NA,8,NA,NA,NA,NA,NA,NA,"","SAK13",-80.18414788,25.49080926
"273","SAK14","Biscayne","Sand Key","SAK",14,NA,60,10,NA,50,NA,NA,NA,NA,NA,NA,"","SAK14",-80.18428459,25.4907698
"274","SAK15","Biscayne","Sand Key","SAK",15,NA,75,50,NA,5,20,NA,NA,NA,NA,NA,"","SAK15",-80.18410232,25.4907955
"275","SAK16","Biscayne","Sand Key","SAK",16,NA,86,75,NA,5,5,NA,NA,1,NA,NA,"","SAK16",-80.18420755,25.49076364
"276","SAK17","Biscayne","Sand Key","SAK",17,NA,70,60,NA,5,5,NA,NA,NA,NA,NA,"","SAK17",-80.18404011,25.49081306
"277","SAK18","Biscayne","Sand Key","SAK",18,NA,92,85,NA,5,2,NA,NA,NA,NA,NA,"","SAK18",-80.18410696,25.4907272
"278","SAK19","Biscayne","Sand Key","SAK",19,NA,72,65,NA,7,NA,NA,NA,NA,NA,NA,"","SAK19",-80.18400491,25.49089025
"279","SAK2","Biscayne","Sand Key","SAK",2,NA,45,40,NA,5,NA,NA,NA,NA,NA,NA,"","SAK2",-80.18438956,25.4910554
"280","SAK20","Biscayne","Sand Key","SAK",20,NA,60,45,NA,15,NA,NA,NA,NA,NA,NA,"","SAK20",-80.18403461,25.49077215
"281","SAK21","Biscayne","Sand Key","SAK",21,NA,55,40,NA,15,NA,NA,NA,NA,NA,NA,"","SAK21",-80.18414411,25.49094546
"282","SAK22","Biscayne","Sand Key","SAK",22,NA,66,60,NA,5,NA,NA,NA,1,NA,NA,"","SAK22",-80.18409154,25.49098398
"283","SAK23","Biscayne","Sand Key","SAK",23,NA,60,50,NA,8,NA,NA,NA,2,NA,NA,"","SAK23",-80.18409608,25.49109344
"284","SAK24","Biscayne","Sand Key","SAK",24,NA,70,55,NA,10,NA,NA,NA,5,NA,NA,"","SAK24",-80.18416027,25.49103684
"285","SAK25","Biscayne","Sand Key","SAK",25,NA,75,70,NA,5,NA,NA,NA,NA,NA,NA,"","SAK25",-80.18416815,25.49117951
"286","SAK26","Biscayne","Sand Key","SAK",26,NA,67,65,NA,2,NA,NA,NA,NA,NA,NA,"","SAK26",-80.18421811,25.49110834
"287","SAK27","Biscayne","Sand Key","SAK",27,NA,42,30,NA,10,2,NA,NA,NA,NA,NA,"","SAK27",-80.18420007,25.4912156
"288","SAK28","Biscayne","Sand Key","SAK",28,NA,65,60,NA,5,NA,NA,NA,NA,NA,NA,"","SAK28",-80.18424231,25.49114029
"289","SAK29","Biscayne","Sand Key","SAK",29,NA,6,5,NA,NA,1,NA,NA,NA,NA,NA,"","SAK29",-80.18422211,25.49088579
"290","SAK3","Biscayne","Sand Key","SAK",3,NA,38,20,NA,15,3,NA,NA,NA,NA,NA,"","SAK3",-80.1843681,25.49100818
"291","SAK30","Biscayne","Sand Key","SAK",30,NA,49,40,NA,7,2,NA,NA,NA,NA,NA,"","SAK30",-80.18425177,25.49110044
"292","SAK4","Biscayne","Sand Key","SAK",4,NA,66,55,NA,10,1,NA,NA,NA,NA,NA,"","SAK4",-80.18442957,25.49098812
"293","SAK5","Biscayne","Sand Key","SAK",5,NA,70,60,NA,10,NA,NA,NA,NA,NA,NA,"","SAK5",-80.18439173,25.49091602
"294","SAK6","Biscayne","Sand Key","SAK",6,NA,35,20,NA,15,NA,NA,NA,NA,NA,NA,"","SAK6",-80.18441771,25.49096018
"295","SAK7","Biscayne","Sand Key","SAK",7,NA,16,8,5,NA,3,NA,NA,NA,NA,NA,"","SAK7",-80.18433736,25.49087185
"296","SAK8","Biscayne","Sand Key","SAK",8,NA,35,20,NA,5,10,NA,NA,NA,NA,NA,"","SAK8",-80.18439893,25.49089575
"297","SAK9","Biscayne","Sand Key","SAK",9,NA,27,20,NA,5,2,NA,NA,NA,NA,NA,"","SAK9",-80.18426921,25.49084397
"298","SAW1","Lower Keys","Sawyer Key","SAW",1,NA,41,40,NA,NA,NA,1,NA,NA,NA,NA,"","saw1",-81.56826911,24.74552014
"299","SAW10","Lower Keys","Sawyer Key","SAW",10,NA,20,10,NA,NA,NA,10,NA,NA,NA,NA,"","saw10",-81.56779518,24.74602854
"300","SAW11","Lower Keys","Sawyer Key","SAW",11,NA,40,40,NA,NA,NA,NA,NA,NA,NA,NA,"","saw11",-81.5677905,24.74608796
"301","SAW12","Lower Keys","Sawyer Key","SAW",12,NA,30,30,NA,NA,NA,NA,NA,NA,NA,NA,"","saw12",-81.56776957,24.74616265
"302","SAW13","Lower Keys","Sawyer Key","SAW",13,NA,60,NA,NA,NA,NA,60,NA,NA,NA,NA,"","saw13",-81.56776247,24.74613921
"303","SAW14","Lower Keys","Sawyer Key","SAW",14,NA,51,45,NA,NA,NA,1,NA,5,NA,NA,"","saw14",-81.56766777,24.74609385
"304","SAW15","Lower Keys","Sawyer Key","SAW",15,NA,35,20,NA,NA,5,5,NA,5,NA,NA,"","saw15",-81.56761034,24.74611481
"305","SAW16","Lower Keys","Sawyer Key","SAW",16,NA,30,20,NA,NA,NA,NA,NA,10,NA,NA,"","saw16",-81.56756712,24.74605721
"306","SAW17","Lower Keys","Sawyer Key","SAW",17,NA,30,25,NA,NA,NA,NA,NA,5,NA,NA,"","saw17",-81.56754899,24.74600386
"307","SAW18","Lower Keys","Sawyer Key","SAW",18,NA,35,25,NA,NA,NA,NA,NA,10,NA,NA,"","saw18",-81.56751779,24.74594277
"308","SAW19","Lower Keys","Sawyer Key","SAW",19,NA,40,30,NA,NA,NA,NA,NA,10,NA,NA,"","saw19",-81.56748107,24.74589745
"309","SAW2","Lower Keys","Sawyer Key","SAW",2,NA,50,30,NA,NA,NA,20,NA,NA,NA,NA,"","saw2",-81.5682478,24.74557957
"310","SAW20","Lower Keys","Sawyer Key","SAW",20,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"","saw20",-81.56741492,24.74599588
"311","SAW21","Lower Keys","Sawyer Key","SAW",21,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,"","saw21",-81.56741452,24.74601017
"312","SAW22","Lower Keys","Sawyer Key","SAW",22,NA,40,35,NA,NA,NA,NA,5,NA,NA,NA,"","saw22",-81.56738515,24.74606904
"313","SAW23","Lower Keys","Sawyer Key","SAW",23,NA,6,5,NA,NA,NA,NA,1,NA,NA,NA,"","saw23",-81.56738567,24.74613035
"314","SAW24","Lower Keys","Sawyer Key","SAW",24,NA,16,15,NA,NA,NA,NA,1,NA,NA,NA,"","saw24",-81.5674682,24.74615818
"315","SAW25","Lower Keys","Sawyer Key","SAW",25,NA,40,35,NA,NA,NA,NA,5,NA,NA,NA,"","saw25",-81.56755793,24.74616239
"316","SAW26","Lower Keys","Sawyer Key","SAW",26,NA,30,25,NA,NA,NA,NA,5,NA,NA,NA,"","saw26",-81.56765868,24.74615622
"317","SAW27","Lower Keys","Sawyer Key","SAW",27,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,"","saw27",-81.56775672,24.7461597
"318","SAW28","Lower Keys","Sawyer Key","SAW",28,NA,30,25,NA,NA,NA,NA,5,NA,NA,NA,"","saw28",-81.56788137,24.74614288
"319","SAW29","Lower Keys","Sawyer Key","SAW",29,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,"","saw29",-81.56793296,24.74606871
"320","SAW3","Lower Keys","Sawyer Key","SAW",3,NA,60,25,NA,NA,NA,30,NA,5,NA,NA,"","saw3",-81.56818762,24.74562563
"321","SAW30","Lower Keys","Sawyer Key","SAW",30,NA,40,20,NA,NA,NA,NA,20,NA,NA,NA,"","saw30",-81.56802987,24.7459668
"322","SAW4","Lower Keys","Sawyer Key","SAW",4,NA,90,NA,NA,NA,NA,90,NA,NA,NA,NA,"","saw4",-81.56813746,24.74566854
"323","SAW5","Lower Keys","Sawyer Key","SAW",5,NA,30,30,NA,NA,NA,NA,NA,NA,NA,NA,"","saw5",-81.56808764,24.74573006
"324","SAW6","Lower Keys","Sawyer Key","SAW",6,NA,70,5,NA,NA,15,NA,NA,50,NA,NA,"","saw6",-81.56802183,24.74580133
"325","SAW7","Lower Keys","Sawyer Key","SAW",7,NA,20,15,NA,NA,NA,5,NA,NA,NA,NA,"","saw7",-81.56796287,24.74586559
"326","SAW8","Lower Keys","Sawyer Key","SAW",8,NA,80,5,NA,NA,50,NA,NA,25,NA,NA,"","saw8",-81.56787277,24.74590563
"327","SAW9","Lower Keys","Sawyer Key","SAW",9,NA,45,15,NA,NA,NA,15,NA,15,NA,NA,"","saw9",-81.56781519,24.74594683
"328","SHK1","Upper Keys","Shell Key","SHK",1,NA,30,5,NA,NA,20,5,NA,NA,NA,NA,"","shk1",-80.66738945,24.91287797
"329","SHK10","Upper Keys","Shell Key","SHK",10,NA,11,8,NA,NA,NA,NA,NA,3,NA,NA,"","shk10",-80.66801726,24.91309119
"330","SHK11","Upper Keys","Shell Key","SHK",11,NA,48,NA,45,NA,NA,NA,NA,3,NA,NA,"","shk11",-80.66810775,24.91326907
"331","SHK12","Upper Keys","Shell Key","SHK",12,NA,22,12,NA,NA,3,3,NA,4,NA,NA,"","shk12",-80.66831278,24.91335097
"332","SHK13","Upper Keys","Shell Key","SHK",13,NA,31,NA,25,NA,NA,NA,NA,6,NA,NA,"","shk13",-80.66814097,24.91353634
"333","SHK14","Upper Keys","Shell Key","SHK",14,NA,67,10,NA,NA,55,NA,NA,2,NA,NA,"","shk14",-80.66807688,24.91359848
"334","SHK15","Upper Keys","Shell Key","SHK",15,NA,93,8,NA,NA,85,NA,NA,NA,NA,NA,"","shk15",-80.66797444,24.91365769
"335","SHK16","Upper Keys","Shell Key","SHK",16,NA,12,2,1,NA,NA,1,NA,8,NA,NA,"","shk16",-80.66785608,24.91373942
"336","SHK17","Upper Keys","Shell Key","SHK",17,NA,58,15,NA,NA,40,3,NA,NA,NA,NA,"","shk17",-80.66777912,24.91380107
"337","SHK18","Upper Keys","Shell Key","SHK",18,NA,55,25,NA,NA,30,NA,NA,NA,NA,NA,"","shk18",-80.66765072,24.91388606
"338","SHK19","Upper Keys","Shell Key","SHK",19,NA,32,4,2,NA,12,4,NA,10,NA,NA,"","shk19",-80.66750998,24.91389763
"339","SHK2","Upper Keys","Shell Key","SHK",2,NA,14,2,NA,NA,5,4,NA,3,NA,NA,"","shk2",-80.6673239,24.91280521
"340","SHK20","Upper Keys","Shell Key","SHK",20,NA,10,4,6,NA,NA,NA,NA,NA,NA,NA,"","shk20",-80.66737468,24.91387702
"341","SHK21","Upper Keys","Shell Key","SHK",21,NA,15,8,5,NA,NA,NA,NA,2,NA,NA,"","shk21",-80.66725107,24.91383073
"342","SHK22","Upper Keys","Shell Key","SHK",22,NA,100,2,NA,NA,98,NA,NA,NA,NA,NA,"","shk22",-80.66708779,24.9138197
"343","SHK23","Upper Keys","Shell Key","SHK",23,NA,35,NA,NA,NA,30,3,NA,2,NA,NA,"","shk23",-80.66708705,24.91381802
"344","SHK24","Upper Keys","Shell Key","SHK",24,NA,21,NA,3,NA,4,4,NA,10,NA,NA,"","shk24",-80.66706804,24.91370533
"345","SHK25","Upper Keys","Shell Key","SHK",25,NA,92,NA,NA,NA,90,2,NA,NA,NA,NA,"","shk25",-80.66708731,24.91357509
"346","SHK26","Upper Keys","Shell Key","SHK",26,NA,90,45,NA,NA,NA,45,NA,NA,NA,NA,"","shk26",-80.66698323,24.91350943
"347","SHK27","Upper Keys","Shell Key","SHK",27,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,"","shk27",-80.66697991,24.91322147
"348","SHK28","Upper Keys","Shell Key","SHK",28,NA,14,NA,1,NA,8,3,NA,2,NA,NA,"","shk28",-80.66700788,24.91311295
"349","SHK29","Upper Keys","Shell Key","SHK",29,NA,27,12,NA,NA,15,NA,NA,NA,NA,NA,"","shk29",-80.66710374,24.91300659
"350","SHK3","Upper Keys","Shell Key","SHK",3,NA,24,5,NA,NA,10,5,NA,4,NA,NA,"","shk3",-80.66728791,24.91267286
"351","SHK30","Upper Keys","Shell Key","SHK",30,NA,100,15,NA,NA,85,NA,NA,NA,NA,NA,"","shk30",-80.66727452,24.91289445
"352","SHK4","Upper Keys","Shell Key","SHK",4,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,"","shk4",-80.66724099,24.91254066
"353","SHK5","Upper Keys","Shell Key","SHK",5,NA,73,NA,NA,NA,65,8,NA,NA,NA,NA,"","shk5",-80.66727032,24.91243414
"354","SHK6","Upper Keys","Shell Key","SHK",6,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,"","shk6",-80.66758505,24.91251987
"355","SHK7","Upper Keys","Shell Key","SHK",7,24,49,40,NA,NA,3,NA,NA,6,NA,NA,"","shk7",-80.66768944,24.91261494
"356","SHK8","Upper Keys","Shell Key","SHK",8,20,97,12,NA,NA,85,NA,NA,NA,NA,NA,"","shk8",-80.66781269,24.91285946
"357","SHK9","Upper Keys","Shell Key","SHK",9,NA,68,55,NA,NA,10,NA,NA,3,NA,NA,"","shk9",-80.66791662,24.9129456
"358","SOK1","Biscayne","Soldier Key","SOK",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SOK1",-80.16216198,25.59014532
