"","SQ","Region","Name.x","Site","Quad","CH..cm.","Tot","Tt","Hw","Sf","Drift","Halimeda","Bat","Pen","O.Calc","Epiphyte.Load","Notes","Name.y","Lat","Long"
"13","BUB20","Upper Keys","Buchanan Bank","BUB",20,NA,18,1,12,NA,3,NA,1,1,NA,NA,"","bub20",-80.7659056,24.91748666
"14","BUB21","Upper Keys","Buchanan Bank","BUB",21,NA,24,2,8,NA,4,4,4,2,NA,NA,"","bub21",-80.7658696,24.91740505
"15","BUB22","Upper Keys","Buchanan Bank","BUB",22,NA,34,2,4,NA,18,NA,NA,10,NA,NA,"","bub22",-80.76582425,24.91732849
"16","BUB23","Upper Keys","Buchanan Bank","BUB",23,NA,18,3,4,NA,NA,2,6,3,NA,NA,"","bub23",-80.76580633,24.91724269
"17","BUB24","Upper Keys","Buchanan Bank","BUB",24,NA,25,4,8,NA,1,4,NA,8,NA,NA,"","bub24",-80.76580886,24.91713816
"18","BUB25","Upper Keys","Buchanan Bank","BUB",25,NA,32,6,4,NA,6,4,4,8,NA,NA,"","bub25",-80.76581188,24.91705131
"19","BUB26","Upper Keys","Buchanan Bank","BUB",26,NA,39,3,8,NA,12,6,4,6,NA,NA,"","bub26",-80.76582624,24.91695806
"20","BUB27","Upper Keys","Buchanan Bank","BUB",27,NA,28,15,2,NA,2,6,1,2,NA,NA,"","bub27",-80.76585368,24.91687371
"21","BUB28","Upper Keys","Buchanan Bank","BUB",28,NA,21,8,NA,NA,5,3,5,NA,NA,NA,"","bub28",-80.7658902,24.91679713
"22","BUB29","Upper Keys","Buchanan Bank","BUB",29,NA,33,16,1,NA,8,2,4,2,NA,NA,"","bub29",-80.76596349,24.91674581
"23","BUB3","Upper Keys","Buchanan Bank","BUB",3,NA,21,5,8,NA,5,NA,3,NA,NA,NA,"","bub3",-80.76647435,24.9169643
"24","BUB30","Upper Keys","Buchanan Bank","BUB",30,NA,24,3,2,NA,3,2,6,8,NA,NA,"","bub30",-80.7660634,24.91669391
"25","BUB4","Upper Keys","Buchanan Bank","BUB",4,NA,22,6,6,NA,4,NA,6,NA,NA,NA,"","bub4",-80.76661946,24.917061
"26","BUB5","Upper Keys","Buchanan Bank","BUB",5,NA,31,8,4,NA,6,NA,5,5,3,NA,"","bub5",-80.76669477,24.91715743
"27","BUB6","Upper Keys","Buchanan Bank","BUB",6,NA,28,8,NA,NA,8,6,6,NA,NA,NA,"","bub6",-80.76674812,24.91723413
"28","BUB7","Upper Keys","Buchanan Bank","BUB",7,NA,21,5,NA,NA,8,5,3,NA,NA,NA,"","bub7",-80.76674896,24.91723385
"29","BUB8","Upper Keys","Buchanan Bank","BUB",8,NA,31,10,NA,NA,8,3,6,4,NA,NA,"","bub8",-80.76684061,24.91742549
"30","BUB9","Upper Keys","Buchanan Bank","BUB",9,NA,27,10,4,NA,4,2,1,6,NA,NA,"","bub9",-80.76689462,24.91749678
"31","CRB1","Upper Keys","Cross Bank","CRB",1,NA,66,60,NA,NA,6,NA,NA,NA,NA,NA,"","crb1",-80.57755526,25.00776031
"32","CRB10","Upper Keys","Cross Bank","CRB",10,NA,17,10,2,NA,4,NA,NA,1,NA,NA,"","crb10",-80.57696557,25.00736186
"33","CRB11","Upper Keys","Cross Bank","CRB",11,NA,63,8,NA,NA,55,NA,NA,NA,NA,NA,"","crb11",-80.57707463,25.0072718
"34","CRB12","Upper Keys","Cross Bank","CRB",12,NA,18,5,8,NA,5,NA,NA,NA,NA,NA,"","crb12",-80.57725739,25.0073004
"35","CRB13","Upper Keys","Cross Bank","CRB",13,NA,56,5,8,NA,40,2,NA,1,NA,NA,"","crb13",-80.57729789,25.00726655
"36","CRB14","Upper Keys","Cross Bank","CRB",14,NA,40,NA,40,NA,NA,NA,NA,NA,NA,NA,"","crb14",-80.57736998,25.00725661
"37","CRB15","Upper Keys","Cross Bank","CRB",15,NA,71,4,65,NA,2,NA,NA,NA,NA,NA,"","crb15",-80.57746572,25.00725048
"38","CRB16","Upper Keys","Cross Bank","CRB",16,NA,38,8,10,NA,20,NA,NA,NA,NA,NA,"","crb16",-80.57753154,25.00723747
"39","CRB17","Upper Keys","Cross Bank","CRB",17,NA,36,4,4,NA,25,3,NA,NA,NA,NA,"","crb17",-80.57766253,25.00724121
"40","CRB18","Upper Keys","Cross Bank","CRB",18,NA,31,3,25,NA,3,NA,NA,NA,NA,NA,"","crb18",-80.57766271,25.00724098
